date,daily_revenue_interview_coder,cumulative_revenue_interview_coder,daily_revenue_cluely,cumulative_revenue_cluely,total_daily_revenue,total_cumulative_revenue
2025-18-03,7111.540000000001,401018.38,0,65480,7111.540000000001,466498.38
2025-18-04,5571.709999999999,406590.09,0,65480,5571.709999999999,472070.09
2025-18-05,5924.870000000001,412514.96,2880,68360,8804.87,480874.96
2025-19-02,950,413464.96,0,68360,950,481824.96
2025-19-03,7386.84,420851.80000000005,0,68360,7386.84,489211.80000000005
2025-19-04,4536.500000000001,425388.30000000005,0,68360,4536.500000000001,493748.30000000005
2025-19-05,5767.809999999997,431156.11000000004,5340,73700,11107.809999999998,504856.11000000004
2025-20-01,20,431176.11000000004,0,73700,20,504876.11000000004
2025-20-02,740,431916.11000000004,0,73700,740,505616.11000000004
2025-20-03,6712.01,438628.12000000005,0,73700,6712.01,512328.12000000005
2025-20-04,7077.750000000001,445705.87000000005,4680,78380,11757.75,524085.87000000005
2025-20-05,5640.359999999999,451346.23000000004,5800,84180,11440.359999999999,535526.2300000001
2025-21-01,40,451386.23000000004,0,84180,40,535566.2300000001
2025-21-02,390,451776.23000000004,0,84180,390,535956.2300000001
2025-21-03,4715.049999999999,456491.28,0,84180,4715.049999999999,540671.2800000001
2025-21-04,7717.700000000002,464208.98000000004,7680,91860,15397.7,556068.9800000001
2025-21-05,7070.17,471279.15,6040,97900,13110.17,569179.1500000001
2025-22-02,480,471759.15,0,97900,480,569659.1500000001
2025-22-03,4720.25,476479.4,0,97900,4720.25,574379.4000000001
2025-22-04,6387.6900000000005,482867.09,6100,104000,12487.69,586867.0900000001
2025-22-05,6447.86,489314.95,4960,108960,11407.86,598274.9500000001
2025-23-02,610,489924.95,0,108960,610,598884.9500000001
2025-23-03,6481.469999999998,496406.42,0,108960,6481.469999999998,605366.42
2025-23-04,8155.67,504562.08999999997,9460,118420,17615.67,622982.0900000001
2025-23-05,5339.339999999999,509901.43,4400,122820,9739.34,632721.43
2025-24-02,1020,510921.43,0,122820,1020,633741.43
2025-24-03,6747.98,517669.41,0,122820,6747.98,640489.41
2025-24-04,6615.080000000002,524284.49,6640,129460,13255.080000000002,653744.49
2025-24-05,4741.470000000001,529025.96,2840,132300,7581.470000000001,661325.96
2025-25-02,1150,530175.96,0,132300,1150,662475.96
2025-25-03,6894.4800000000005,537070.44,0,132300,6894.4800000000005,669370.44
2025-25-04,6369.590000000001,543440.0299999999,4720,137020,11089.59,680460.0299999999
2025-26-01,20,543460.0299999999,0,137020,20,680480.0299999999
2025-26-02,2900,546360.0299999999,0,137020,2900,683380.0299999999
2025-26-03,8926.340000000002,555286.3699999999,0,137020,8926.340000000002,692306.3699999999
2025-26-04,5240.909999999999,560527.2799999999,1920,138940,7160.909999999999,699467.2799999999
2025-27-01,20,560547.2799999999,0,138940,20,699487.2799999999
2025-27-02,3850,564397.2799999999,0,138940,3850,703337.2799999999
2025-27-03,14489.910000000002,578887.19,0,138940,14489.910000000002,717827.19
2025-27-04,7655.789999999997,586542.98,3260,142200,10915.789999999997,728742.98
2025-28-01,100,586642.98,0,142200,100,728842.98
2025-28-02,3990,590632.98,0,142200,3990,732832.98
2025-28-03,11592.419999999998,602225.4,0,142200,11592.419999999998,744425.4
2025-28-04,8856.630000000001,611082.03,4460,146660,13316.630000000001,757742.03
2025-29-01,250,611332.03,0,146660,250,757992.03
2025-29-03,7498.630000000004,618830.66,0,146660,7498.630000000004,765490.66
2025-29-04,8442.910000000005,627273.5700000001,4380,151040,12822.910000000005,778313.5700000001
2025-30-01,80,627353.5700000001,0,151040,80,778393.5700000001
2025-30-03,7999.710000000005,635353.28,0,151040,7999.710000000005,786393.28
2025-30-04,9447.87,644801.15,5400,156440,14847.87,801241.15
2025-31-01,180,644981.15,0,156440,180,801421.15
2025-31-03,11030.859999999991,656012.01,0,156440,11030.859999999991,812452.01
